Name,Address,Latitude,Longitude,Primary Surface,Secondary Surface,Owner,Number of Courts,Lights/No Lights,Pickleball Lines,Indoor/Outdoor,Public/Private,City,Tennis Club Name,Club Website,Membership,Winter Play,Phone,Type,Public City URL,Indoor Court Type,Notes,Operating Season,Public Hours Monday,Public Hours Tuesday,Public Hours Wednesday,Public Hours Thursday,Public Hours Friday,Public Hours Saturday,Public Hours Sunday,Public Hours Holidays,Public Hours Verified
Stanley Greene Park,"55 Stanley Greene Blvd, Toronto, ON M3K 0A8",43.73454019,-79.47746601,Hardcourt-Acrylic,,City of Toronto,2,Lights,1,Outdoor,Public,Toronto,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3693,,,Summer,,,,,,,,,
Stanley Park,"27 Stanley Rd, Toronto, ON M3N 1C2",43.74153796,-79.51564685,Hardcourt-Asphalt,,City of Toronto,3,No Lights,3,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=761,,,Summer,,,,,,,,,
Stanley Park South - Toronto,"700 Wellington St W, Toronto, ON M5V 1P1",43.64173194,-79.40817178,Hardcourt-Asphalt,,City of Toronto,2,No Lights,2,Outdoor,Public,Toronto,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2750,,,Summer,,,,,,,,,
Stephen Leacock Park,"2530 Birchmount Rd, Scarborough, ON",43.78733798,-79.30194787,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Outdoor,Private with some public hours,Scarborough,Stephen Leacock Tennis Club,http://www.stephenleacock-tennis.ca,Open,,311,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2034,,,Summer,,,,,,,1 p.m. - 7 p.m.,12 p.m. - 2 p.m.,
Strathburn Park,"55 Strathburn Blvd, Toronto, ON",43.7218022,-79.53274629,Hardcourt-Asphalt,,City of Toronto,2,Lights,5,Outdoor,Public,Toronto,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=762,,,Summer,,,,,,,,,
Summerlea Park,"2 Arcot Blvd, Toronto, ON",43.72824729,-79.55209255,Hardcourt-Asphalt,,City of Toronto,2,Lights,No,Outdoor,Public,Toronto,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=870,,,Summer,,,,,,,,,
Sunnydale Acres Park,"50 Amoro Dr, Etobicoke, ON M9W 4S3",43.72447532,-79.57832298,Hardcourt-Asphalt,,City of Toronto,4,Lights,No,Outdoor,Public,Etobicoke,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=871,,,Summer,,,,,,,,,
Sunnylea Park,"195 Prince Edward Dr S, Etobicoke, ON M8Y 2B1",43.64154432,-79.5017146,Hardcourt-Asphalt,,City of Toronto,2,Lights,2,Outdoor,Public,Etobicoke,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1021,,,Summer,,,,,,,,,
Sweeney Park,"110 Sweeney Dr, Toronto, ON M4A 2J9",43.73578591,-79.31571273,Hardcourt-Asphalt,,City of Toronto,3,Lights,3,Outdoor,Public reservable,Toronto,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=763,,,Summer,,,,,,,,,
Symington Avenue Playground,"431 Perth Ave, Toronto, ON M6P 3Z1",43.66664291,-79.45202417,Hardcourt-Asphalt,,City of Toronto,2,No Lights,No,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=216,,,Summer,,,,,,,,,
Tam Heather Country Club Grounds,"50 Bonspiel Dr, Scarborough, ON M1E 5K5",43.79154943,-79.19833178,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Indoor,Private,Scarborough,,,,,311,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2154,,,Summer,,,,,,,,,
Thomson Memorial Park,"1005 Brimley Rd, Scarborough, ON M1P 4N2",43.7560346,-79.25478124,Hardcourt-Acrylic,,City of Toronto,3,Lights,No,Outdoor,Private with some public hours,Scarborough,Thomson Park Tennis Club,,Open,,311,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=543,,,Summer,4 p.m. - 6 p.m.,4 p.m. - 6 p.m.,,,,,4 p.m. - 6 p.m.,4 p.m. - 6 p.m.,
Three Valleys Park,"Three Valleys Park, 82 Three Valleys Dr, North York, ON M3A 2Z1",43.75044644,-79.33893072,Hardcourt-Acrylic,,City of Toronto,2,Lights,No,Outdoor,Private,North York,Parkway Valley Tennis Club,http://www.pvtc.ca,,,416-391-3962,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=764,,,Summer,,,,,,,,,
Tom Riley Park,"4725 Dundas St W, Toronto, ON M9A 1G6",43.65027207,-79.52438983,Hardcourt-Acrylic,,City of Toronto,3,Lights,2,Outdoor,Private with some public hours,Toronto,Central Tennis Club,http://www.centraltennisclub.com,Waitlist,Yes,416-236-2835,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=837,,,Summer,,,,,,8 p.m. - 11 p.m.,8 p.m. - 11 p.m.,,
Topham Park,"181 Westview Blvd, Toronto, ON M4B 1Z9",43.71091959,-79.30657522,Hardcourt-Asphalt,,City of Toronto,2,Lights,No,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=276,,,Summer,,,,,,,,,
Tournament Park,"40 Tournament Dr, North York, ON M2P 1K2",43.75113606,-79.40026199,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Outdoor,Private with some public hours,North York,Tournament Park Tennis Club,http://www.tournamentpark.com,Waitlist,,416-733-4643,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=766,,,Summer,,,,,9 p.m. - 11 p.m.,7 p.m. - 11 p.m.,,,
Trace Manes Park,"110 Rumsey Rd, Toronto, ON M4G 1P2",43.7057589,-79.36755861,Hardcourt-Acrylic,,City of Toronto,6,Lights,No,Outdoor,Private with some public hours,Toronto,Leaside Tennis Club,http://www.leasidetennis.org,Waitlist,,416-467-9350,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=934,,,Summer,,,,,,7 p.m. - 11 p.m.,9 p.m. - 11 p.m.,,
Trinity Bellwoods Park,"790 Queen St W, Toronto, ON M6J 1G3",43.64645067,-79.41242519,Hardcourt-Asphalt,,City of Toronto,8,No Lights,4,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=241,,,Summer,,,,,,,,,
Viewmount Park,"169 Viewmount Ave, North York, ON M6B 1T5",43.70751642,-79.43712663,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Outdoor,Private with some public hours,North York,Viewmount Park Tennis Club,https://viewmount.ca,Open,,416-395-6021,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=772,,,Summer,,,,,7 p.m. - 11 p.m.,9 p.m. - 11 p.m.,,9 p.m. - 11 p.m.,
Wanless Park,"250 Wanless Ave, Toronto, ON M4N 1W5",43.7291673,-79.3929874,Hardcourt-Acrylic,,City of Toronto,5,Lights,No,Outdoor,Private with some public hours,Toronto,Wanless Park Tennis Club,http://www.wanlesstennis.com,Waitlist,,416-483-4546,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=265,,,Summer,,,,,,8 p.m. - 11 p.m.,8 p.m. - 11 p.m.,,
Wedgewood Park - Etobicoke,"15 Swan Ave, Etobicoke, ON M9B 1V1",43.64416683,-79.54746088,Hardcourt-Asphalt,,City of Toronto,1,Lights,1,Outdoor,Public,Etobicoke,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=773,,,Summer,,,,,,,,,
Wedgewood Park - North York,"145 Wedgewood Dr, Toronto, ON M2M 2H6",43.7907595,-79.40641944,Hardcourt-Asphalt,,City of Toronto,2,No Lights,1,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2673,,,Summer,,,,,,,,,
West Deane Park,"19 Sedgebrook Crescent, Etobicoke, ON M9B 2X2",43.66332999,-79.55905917,Hardcourt-Asphalt,,City of Toronto,4,Lights,No,Outdoor,Private with some public hours,Etobicoke,Martingrove Tennis Club  Info: Has public hours - Public Hours: 5 PM - 11 PM (Sundays Only),http://www.martingrovetennis.com,Open,,311,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=873,,,Summer,,,,,,5 p.m. - 11 p.m.,,,
West Rouge Park,"270 Rouge Hills Dr, Scarborough, ON M1C 2Z1",43.79254243,-79.1258066,Hardcourt-Acrylic,,City of Toronto,3,Lights,No,Outdoor,Private with some public hours,Scarborough,West Rouge Tennis Club,https://wrtctennis.com/,Open,,311,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=754,,,Summer,4 p.m. - 7 p.m.,,,,,,4 p.m. - 7 p.m.,4 p.m. - 7 p.m.,
Westgrove Park,"15 Redgrave Dr, Toronto, ON M9R 3T9",43.68283461,-79.56773219,Hardcourt-Asphalt,,City of Toronto,2,Lights,1,Outdoor,Public,Toronto,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=876,,,Summer,,,,,,,,,
Westmount Park,"22 Arcade Dr, Etobicoke, ON",43.6875033,-79.51893814,Hardcourt-Asphalt,,City of Toronto,3,Lights,3,Outdoor,Public reservable,Etobicoke,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2006,,,Summer,,,,,,,,,
Weston Lions Park,"2125 Lawrence Ave W, York, ON M9N 1H7",43.69777922,-79.51809243,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Outdoor,Private with some public hours,Toronto,York Weston Lions Tennis Club,http://www.ywtc.ca,Open,,416-243-7068,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=508,,,Summer,,,,,4 p.m. - 8 p.m.,2 p.m. - 4 p.m.,,,
Westway Park,"175 The Westway, Etobicoke, ON M9P 1L6",43.68804817,-79.5418591,Hardcourt-Asphalt,,City of Toronto,4,Lights,No,Outdoor,Public,Etobicoke,,,,,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=874,,,Summer,,,,,,,,,
Willowdale Park,"75 Hollywood Ave, North York, ON M2N 5S9",43.766125,-79.40850116,Green-Clay,,City of Toronto,4,Lights,No,Outdoor,Private,North York,North York Tennis Club,http://www.nytc.ca,Open,,416-590-9704,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=865,,,Summer,,,,,,,,,
Wishing Well Park,"1700 Pharmacy Ave, Scarborough, ON M1R 2J2",43.77000583,-79.31731455,Hardcourt-Acrylic,,City of Toronto,3,Lights,No,Outdoor,Private with some public hours,Scarborough,Wishing Well Tennis Club,http://www.wwtc.sprinterweb.net,Open,,416-492-9696,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=586,,,Summer,,,,,,1 p.m. - 4 p.m.,1 p.m. - 4 p.m.,1 p.m. - 4 p.m.,
Withrow Park and Clubhouse,"725 Logan Ave, Toronto, ON M4K, Canada",43.67601237,-79.34847911,Hardcourt-Asphalt,,City of Toronto,2,No Lights,No,Outdoor,Public,Toronto,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=306,,,Summer,,,,,,,,,
York Mills Valley Park,"3865 Yonge St, North York, ON M4N 3P9",43.7397075,-79.40524758,Hardcourt-Acrylic,,City of Toronto,5,Lights,No,Outdoor,Private with some public hours,North York,Valley Tennis Club,http://www.valleytennisclub.com,Waitlist,,416-440-0645,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1476,,,Summer,,,,,,9 p.m. - 11 p.m.,7 p.m. - 11 p.m.,,
Forest Hill Tennis Club,"730 Eglinton Ave W, Toronto, ON M5N 1B9",43.70237747,-79.42030939,Hardcourt-Acrylic,,TDSB,4,Lights,No,Outdoor,Private with some public hours,Toronto,N/A,https://foresthilltennisclub.ca/,Waitlist,,,Club,,,Courts owned by TDSB Forest Hill CI,Summer,,,,,,,6 p.m. - 10 p.m.,,
Toronto Lawn Tennis Club,"44 Price St, Toronto, ON M4W 1Z1",43.68044584,-79.38899566,Green-Clay,Hardcourt-Acrylic,Private,18,Lights,No,Both,Elite Sports Club,Toronto,N/A,https://www.torontolawn.com/,,,,Club,,,"14 outdoor clay courts, 4 indoor hard courts",Year-Round,,,,,,,,,
Toronto Tennis City,"185 Balliol St, Toronto, ON M4S 1C4",43.69848405,-79.39074644,Red-Clay,,Private,9,Lights,No,Both,Commercial Indoor Private,Toronto,N/A,https://torontotenniscity.com/,,,,Club,,Permanent,"4 all-season courts, 5 summer only",Year-Round,,,,,,,,,
York Racquets Club,"50 Marlborough Ave, Toronto, ON M5R 3J5",43.67962965,-79.39328147,Green-Clay,Hardcourt-Acrylic,Private,7,Lights,No,Indoor,Elite Sports Club,Toronto,N/A,https://yorkracquets.com/,,,,Club,,Permanent,7 indoor courts,Year-Round,,,,,,,,,
Royal Canadian Yacht Club,"141 St George St, Toronto, ON M5R 2L8",43.62441897,-79.3702146,Hardcourt-Acrylic,,Private,4,Lights,No,Outdoor,Elite Sports Club,Toronto,N/A,https://rcyc.ca/,,,,Club,,,4 outdoor Island tennis courts,Year-Round,,,,,,,,,
Granite Club,"2350 Bayview Ave, North York, ON M2L 1E4",43.73340552,-79.38239637,Red-Clay,Green Clay,Private,16,Lights,No,Both,Elite Sports Club,North York,N/A,https://www.graniteclub.com/,,,,Club,,Bubble,12 bubbled indoor courts during winter,Year-Round,,,,,,,,,
The Badminton & Racquet Club of Toronto,"25 St Clair Ave W, Toronto, ON M4V 1K6",43.68730936,-79.39434204,Green-Clay,,Private,4,Lights,No,Both,Elite Sports Club,Toronto,N/A,https://www.thebandr.com/,,,,Club,,Bubble,Bubbled courts in the winter,Year-Round,,,,,,,,,
Upper Canada College,"200 Lonsdale Rd, Toronto, ON M5P 1K7",43.69355205,-79.40535704,Hardcourt-Acrylic,,Private,6,Lights,No,Both,Private Independent School,Toronto,N/A,https://www.ucc.on.ca/athletics/facilities,,,,Club,,Permanent,"Private school, 2 permanent indoor, 4 outdoor courts",Year-Round,,,,,,,,,
Havergal Tennis Club,"1451 Avenue Rd, Toronto, ON M5N 2H9",43.71932137,-79.41216312,Hardcourt-Acrylic,,Private,6,Lights,No,Outdoor,Private Independent School,Toronto,N/A,https://havergalrentals.ca/havergal-tennis-club/,,,,Club,,,"Private school, 6 outdoor, refurbrished in 2025",Summer,,,,,,,,,
The Boulevard Club,"1491 Lake Shore Blvd W, Toronto, ON M6K 3C2",43.63626221,-79.44466058,Green-Clay,,Private,10,Lights,No,Both,Elite Sports Club,Toronto,N/A,https://www.boulevardclub.com/,,,,Club,,Bubble,8 bubbled indoor during winter,Year-Round,,,,,,,,,
Mayfair Clubs Lakeshore,"801 Lake Shore Blvd E, Toronto, ON M4M 1A9",43.65339708,-79.33789543,Hardcourt-Acrylic,,Private,8,Lights,No,Indoor,Commercial Indoor Private,Toronto,N/A,https://mayfairclubs.com/club-locations-programs/mayfair-lakeshore/,,,,Club,,Permanent,Permanent indoor facility,Year-Round,,,,,,,,,
Mayfair Clubs West,"3855 Chesswood Dr, North York, ON M3J 2P6",43.75745184,-79.47400216,Hardcourt-Acrylic,,Private,11,Lights,No,Indoor,Commercial Indoor Private,North York,N/A,https://mayfairclubs.com/club-locations-programs/mayfair-west/,,,,Club,,Permanent,Permanent indoor facility,Year-Round,,,,,,,,,
Eglinton Flats Winter Tennis,"3601 Eglinton Ave W, York, ON M6M 1V7",43.68488608,-79.49448697,Hardcourt-Acrylic,,Private,6,Lights,No,Both,Commercial Indoor Private,York,N/A,https://eglintonflats.com/,,,,Club,,Bubble,Bubble in winter. Operator changed starting Fall 2026,Year-Round,,,,,,,,,
10XTO,"107 Princes' Blvd, Toronto, ON M6K 3C3",43.63376867,-79.41191392,Hardcourt-Acrylic,,Private,4,Lights,No,Indoor,Elite Sports Club,Toronto,N/A,https://www.10xto.com/tennis,,,,Club,,Permanent,Private club,Year-Round,,,,,,,,,
Tennis Canada National Training Centre Toronto,"1 Shoreham Dr #100, North York, ON M3N 2P9",43.77092457,-79.51169208,Hardcourt-Acrylic,,Private,16,Lights,No,Both,Private,North York,N/A,https://www.tenniscanada.com/compete-perform/whole-player-development-pathway/national-regional-training-centers ,,,,Club,,Permanent,"High-performance training programs, Canadian Open major tournament every year",Year-Round,,,,,,,,,
Tait McKenzie Centre Tennis Courts,"York University Tennis Courts, North York, ON M3J",43.77476985,-79.50846416,Hardcourt-Acrylic,,York University,4,Lights,No,Outdoor,Private,North York,N/A,https://yorkulions.ca/sports/2017/7/11/tennis-courts.aspx?id=414,,,,Club,,,"Hard courts, varsity team of York Tennis",Summer,,,,,,,,,
L'Amoreaux Tennis Centre,"300 Silver Springs Blvd, Scarborough, ON M1V 1S4",43.80636393,-79.30508318,Hardcourt-Acrylic,,City of Toronto,14,Lights,No,Both,Commercial Indoor Private,Scarborough,N/A,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=699&title=L%27Amoreaux-Tennis-Centre,,,,Club,,Permanent,"Operates as Scarborough Winter Tennis Club in the Winter. 9 indoor, 5 outdoor courts",Year-Round,,,,,,,,,
Scarborough Winter Tennis Club,"300 Silver Springs Blvd, Scarborough, ON M1V 1S4",43.80636393,-79.30508318,Hardcourt-Acrylic,,City of Toronto,9,Lights,No,Indoor,Commercial Indoor Private,Scarborough,N/A,https://www.swtc.ca/,,,,Club,,Permanent,Operates as L'Amoreaux Tennis Centre in the Summer,Year-Round,,,,,,,,,
Tam Heather Curling & Tennis Club,"730 Military Trail, Scarborough, ON M1E 4P7",43.79157683,-79.19849226,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Indoor,Private,Scarborough,N/A,https://tamheather.ca/,,,,Club,,Permanent,Operated under a lease agreement with the City of Toronto,Year-Round,,,,,,,,,
University of Toronto Scarborough Tennis Centre,"130 Old Kingston Rd, Scarborough, ON M1E 3J5",43.77949136,-79.18128646,Hardcourt-Acrylic,,University of Toronto,8,Lights,No,Outdoor,Private,Scarborough,N/A,https://www.utsc.utoronto.ca/athletics/tennis-club,,,,Club,,,"Operated by the University of Toronto, many varsity team events",Summer,,,,,,,,,
Donalda Club,"12 Bushbury Dr, North York, ON M3A 2Z7",43.75195604,-79.34193406,Green-Clay,,Private,12,Lights,No,Both,Elite Sports Club,North York,N/A,https://donaldaclub.ca/tennis/,,,,Club,,Bubble,6 bubbled during winter,Year-Round,,,,,,,,,
The Queen's Club,"568 Dupont St, Toronto, ON M6G 1Y9",43.6726426,-79.41801382,Green-Clay,,Private,2,Lights,No,Both,Elite Sports Club,Toronto,N/A,https://queensclub.ca/,,,,Club,,Permanent,Fully enclosed spaces,Year-Round,,,,,,,,,
Lambton Golf and Country Club,"100 Scarlett Rd, York, ON M6N 4K2",43.6667405,-79.50743766,Green-Clay,,Private,5,Lights,No,Both,Elite Sports Club,York,N/A,https://www.lambtongolf.com/,,,,Club,,Bubble,All courts are bubbled in the winter,Year-Round,,,,,,,,,
Crescent School,"2365 Bayview Ave, North York, ON M2L 1A2",43.73223223,-79.37752931,Hardcourt-Acrylic,,Private,3,Lights,No,Indoor,Private Independent School,Toronto,N/A,https://www.crescentschool.org/character-in-action/athletics,,,,Club,,Field House,Field house can be configured for 3 tennis courts. Not permanent,Year-Round,,,,,,,,,
Branksome Hall,"10 Elm Ave, Toronto, ON M4W 1N4",43.67372906,-79.38156292,Hardcourt-Acrylic,,Private,4,Lights,No,Outdoor,Private Independent School,Toronto,N/A,https://branksome.on.ca/learning/student-life/athletics/,,,,Club,,,Private school,Summer,,,,,,,,,
Bishop Strachan School,"298 Lonsdale Rd, Toronto, ON M4V 1X2",43.69128333,-79.40894654,Hardcourt-Acrylic,,Private,3,Lights,No,Outdoor,Private Independent School,Toronto,N/A,https://www.bss.on.ca/student-life/athletics,,,,Club,,,"Private school, can be configured for other sports",Summer,,,,,,,,,
Bayview Glen School,"85 Moatfield Dr, North York, ON M3B 3L6",43.75753976,-79.35020691,Hardcourt-Acrylic,,Private,1,Lights,No,Outdoor,Private Independent School,North York,N/A,https://www.bayviewglen.ca/,,,,Club,,,Private school,Summer,,,,,,,,,
Toronto Cricket Skating and Curling Club,"141 Wilson Ave, Toronto, ON M5M 3A3",43.73955876,-79.41974017,Green-Clay,Hardcourt-Acrylic,Private,13,Lights,No,Both,Elite Sports Club,Toronto,N/A,https://torontocricketclub.com/tennis,,,,Club,,Bubble,"11 green clay, 2 hard courts. Only clay in the winter bubble",Year-Round,,,,,,,,,
Columbus Centre Tennis Club,"901 Lawrence Ave W, North York, ON M6A 1C3",43.71212276,-79.45666841,Hardcourt-Acrylic,,Private,3,Lights,No,Outdoor,Commercial Indoor Private,North York,N/A,https://www.villacharities.com/columbus-centre/columbus-centre-athletic-club/tennis/,,,,Club,,,3 hard courts,Summer,,,,,,,,,
Premier Racquet Clubs Toronto Downsview Club,"2 Hanover Rd, Toronto, ON M3K 0E2",43.73889435,-79.46543497,Hardcourt-Acrylic,,Private,7,Lights,No,Indoor,Commercial Indoor Private,Toronto,N/A,https://www.premierracquetclubs.com/home-downsview,,,,Club,,Bubble,Opening Fall 2026,Year-Round,,,,,,,,,
Supreme Court Tennis Club,"2235 Sheppard Ave E, North York, ON M2J 5B5",43.77288142,-79.32816526,Hardcourt-Acrylic,,Private,4,Lights,No,Indoor,Commercial Indoor Private,North York,N/A,https://thesupremecourt.ca/toronto/,,,,Club,,Bubble,,Year-Round,,,,,,,,,
Plock Tennis Club,"2 Principal Rd unit 8, Scarborough, ON M1R 4E8",43.76070397,-79.29488713,Hardcourt-Acrylic,,Private,1,Lights,No,Indoor,Commercial Indoor Private,Scarborough,N/A,https://www.plocktennisclub.ca/,,,,Club,,Permanent,"1 rally court, 1 practice court",Year-Round,,,,,,,,,
Central Toronto Academy,"570 Shaw St, Toronto, ON M6G 1S8",43.65709799,-79.42137562,Hardcourt-Asphalt,,TDSB,1,Lights,No,Outdoor,Public School,Toronto,N/A,https://tdsb.ebasefm.com/rentals/catalogue/school_details/108,,,,Club,,,TDSB permit may be required,Summer,,,,,,,,,
John G. Althouse MS     ,"130 Lloyd Manor Rd, Etobicoke, ON M9B 5K1",43.66753017,-79.55442422,Hardcourt-Asphalt,,TDSB,2,Lights,No,Outdoor,Public School,Etobicoke,N/A,https://tdsb.ebasefm.com/rentals/catalogue/school_details/337,,,,Club,,,TDSB permit may be required,Summer,,,,,,,,,
Malvern Collegiate Institute    ,"55 Malvern Ave, Toronto, ON M4E 3E4",43.68242272,-79.29297191,Hardcourt-Asphalt,,TDSB,1,Lights,No,Outdoor,Public School,Toronto,N/A,https://tdsb.ebasefm.com/rentals/catalogue/school_details/394,,,,Club,,,TDSB permit may be required,Summer,,,,,,,,,
Richview Collegiate Institute   ,"1738 Islington Ave., Etobicoke, ON M9A 3N2, Canada",43.67887869,-79.54124098,Hardcourt-Asphalt,,TDSB,3,Lights,No,Outdoor,Public School,Etobicoke,N/A,https://tdsb.ebasefm.com/rentals/catalogue/school_details/496,,,,Club,,,TDSB permit may be required,Summer,,,,,,,,,
Humber Valley Village Junior Middle School,"65 Hartfield Rd, Etobicoke, ON M9A 3E1",43.66452998,-79.52466726,Hardcourt-Asphalt,,TDSB,2,Lights,No,Outdoor,Public School,Etobicoke,N/A,https://schoolweb.tdsb.on.ca/Portals/humbervalley/docs/Tennis%20Program%20Sheets_Humber_Valley_v1%20(2).pdf,,,,Club,,,TDSB permit may be required,Summer,,,,,,,,,
North York Tennis Club - South,"120 Bond Ave, North York, ON M3B 1C9",43.74662676,-79.35040007,Hardcourt-Acrylic,,City of Toronto,6,Lights,No,Indoor,Commercial Indoor Private,North York,N/A,https://www.nywintertennisclub.com/sites/courses/template.asp?id=1641&page=105274,,,,Club,,Bubble,Operates as part of The Don Mills Tennis Club in the Summer ,Winter Only,,,,,,,,,
North York Tennis Club - North,"2975 Don Mills Rd W, North York, ON M2J 3B7, Canada",43.78207473,-79.35094533,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Indoor,Commercial Indoor Private,North York,N/A,https://www.nywintertennisclub.com/sites/courses/template.asp?id=1641&page=105272,,,,Club,,Bubble,Operates year-round,Year-Round,,,,,,,,,
North York Tennis Club - East,"230 Cassandra Blvd, North York, ON M3A 1T8",43.75468102,-79.31878241,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Indoor,Commercial Indoor Private,North York,N/A,https://www.nywintertennisclub.com/sites/courses/template.asp?id=1641&page=105272,,,,Club,,Bubble,Operates as part of Parkway Valley Tennis Club in the Summer,Winter Only,,,,,,,,,
Cottingham Tennis Club,"107 Cottingham Street, Toronto, ON, M4V 1B9",43.67921922,-79.39623199,Green-Clay,,Private,5,Lights,No,Outdoor,Private,Toronto,N/A,https://www.cottinghamtennis.ca/,,,,Club,,,,Summer,,,,,,,,,
High Park Club,"100 Indian Rd, Toronto, ON, M6R 2V4",43.64261217,-79.45435905,Grass,,Private,2,Lights,No,Outdoor,Elite Sports Club,Toronto,N/A,https://www.highparkclub.com/Tennis,,,,Club,,,,Summer,,,,,,,,,
Rosedale Golf Club,"1901 Mt Pleasant Rd, North York, ON M4N 2W3",43.73706337,-79.39865927,Hardcourt-Acrylic,,Private,1,Lights,No,Outdoor,Elite Sports Club,North York,N/A,https://www.rosedalegolf.org/,,,,Club,,,,Summer,,,,,,,,,
Wedgewood Grove Condominiums Tennis Courts,"30 Thunder Grove, Scarborough, ON M1V 4A3",43.81018067,-79.26663044,Hardcourt-Acrylic,,Private,2,Lights,No,Outdoor,Condo Complex,Scarborough,N/A,,,,,,,,,,,,,,,,,,
Cityplace Harbour View Estates Tennis Court,"35 Mariner Terrace, Toronto, ON M5V 3V9",43.63951736,-79.39157837,Hardcourt-Acrylic,,Private,1,No Lights,No,Outdoor,Condo Complex,Toronto,N/A,http://www.harbourviewestates.ca/,,,,,,,,,,,,,,,,,
80 Harrison Garden Boulevard Tennis Court,"80 Harrison Garden Blvd, North York, ON M2N 7E3",43.7565192,-79.40516887,Hardcourt-Acrylic,,Private,1,No Lights,No,Outdoor,Condo Complex,North York,,,,,,,,,,,,,,,,,,,
15 Northtown Way Tennis Court,"15 Northtown Way, North York, ON M2N 7A2",43.77444222,-79.41311931,Hardcourt-Acrylic,,Private,2,No Lights,No,Outdoor,Condo Complex,North York,,,,,,,,,,,,,,,,,,,
